,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],-15.716,4.772,-25.028,-7.116,1.547,1.178,10.0,47.0,1.37
beta_mu[1],-5.059,3.801,-11.658,1.972,0.718,0.543,30.0,50.0,1.12
beta_mu[2],-2.459,4.349,-10.037,5.646,1.262,0.915,12.0,88.0,1.25
beta_mu[3],3.297,2.275,0.099,7.08,1.001,0.752,6.0,73.0,1.73
beta_mu[4],-3.568,5.814,-14.679,6.381,2.228,1.648,7.0,14.0,1.6
beta_mu[5],-2.957,4.263,-10.37,4.679,1.259,0.914,12.0,39.0,1.25
beta_mu[6],-3.393,4.762,-13.761,3.752,1.376,1.136,14.0,14.0,1.29
beta_mu[7],-4.306,6.393,-17.898,4.048,2.672,2.058,7.0,17.0,1.61
beta_mu[8],3.624,2.976,-0.494,9.199,1.356,1.024,6.0,28.0,1.85
beta_mu[9],2.777,2.434,-0.482,7.707,1.084,0.816,5.0,19.0,2.14
beta_mu[10],-1.563,4.364,-8.89,5.962,1.49,1.092,9.0,41.0,1.39
"beta[0, 0]",-15.357,6.155,-27.248,-4.241,1.411,1.099,17.0,111.0,1.18
"beta[0, 1]",-4.504,5.483,-14.522,4.785,0.782,0.557,48.0,255.0,1.07
"beta[0, 2]",-2.6,5.583,-12.004,7.851,1.151,0.824,23.0,59.0,1.12
"beta[0, 3]",3.319,2.448,-0.637,7.623,1.105,0.833,5.0,17.0,2.14
"beta[0, 4]",-3.745,6.41,-16.141,7.34,2.092,1.528,9.0,34.0,1.36
"beta[0, 5]",-3.063,5.101,-12.313,6.082,0.959,0.685,25.0,41.0,1.11
"beta[0, 6]",-3.202,5.809,-15.969,5.573,1.342,1.051,21.0,34.0,1.19
"beta[0, 7]",-4.164,6.619,-18.315,4.847,2.485,1.835,8.0,25.0,1.42
"beta[0, 8]",2.448,2.558,-1.44,7.412,1.156,0.872,5.0,21.0,2.1
"beta[0, 9]",2.718,2.481,-1.153,7.384,1.127,0.851,5.0,20.0,2.15
"beta[0, 10]",-1.842,5.187,-11.284,7.67,1.416,1.024,14.0,112.0,1.22
"beta[1, 0]",-15.774,6.794,-29.228,-2.635,1.474,1.071,19.0,207.0,1.17
"beta[1, 1]",-4.909,5.943,-15.586,6.387,0.725,0.515,65.0,491.0,1.06
"beta[1, 2]",-2.299,6.847,-14.525,9.695,1.453,1.041,21.0,148.0,1.13
"beta[1, 3]",3.187,3.94,-2.491,10.939,1.139,0.826,10.0,65.0,1.33
"beta[1, 4]",-3.635,7.398,-17.554,9.732,2.183,1.585,12.0,70.0,1.26
"beta[1, 5]",-2.695,6.106,-14.098,9.266,1.401,1.006,18.0,96.0,1.16
"beta[1, 6]",-3.126,6.303,-16.593,6.606,1.495,1.075,19.0,67.0,1.17
"beta[1, 7]",-4.549,7.409,-19.731,5.713,2.641,1.942,9.0,33.0,1.36
"beta[1, 8]",3.454,4.275,-4.406,12.435,1.362,0.993,10.0,54.0,1.34
"beta[1, 9]",2.79,3.321,-2.701,10.205,1.076,0.785,9.0,40.0,1.36
"beta[1, 10]",-1.603,6.346,-13.002,10.594,1.532,1.103,17.0,351.0,1.18
"beta[2, 0]",-15.792,6.799,-28.026,-1.784,1.567,1.162,16.0,95.0,1.19
"beta[2, 1]",-4.366,6.73,-17.125,8.78,0.581,0.412,119.0,253.0,1.03
"beta[2, 2]",-2.174,6.703,-14.875,10.55,1.374,0.984,23.0,319.0,1.12
"beta[2, 3]",3.475,3.369,-1.436,10.728,1.086,0.792,10.0,111.0,1.33
"beta[2, 4]",-3.409,7.407,-17.256,9.784,2.28,1.659,10.0,24.0,1.3
"beta[2, 5]",-2.813,5.974,-15.566,7.581,1.329,0.954,19.0,35.0,1.14
"beta[2, 6]",-3.191,6.308,-15.181,8.504,1.423,1.098,23.0,46.0,1.17
"beta[2, 7]",-4.196,7.659,-20.308,7.422,2.864,2.114,8.0,29.0,1.43
"beta[2, 8]",3.473,4.562,-4.992,12.626,1.481,1.081,10.0,37.0,1.37
"beta[2, 9]",2.618,3.282,-3.11,9.559,1.073,0.784,9.0,43.0,1.35
"beta[2, 10]",-1.444,6.409,-12.876,10.783,1.607,1.158,16.0,159.0,1.19
"beta[3, 0]",-18.206,6.258,-29.805,-6.786,1.781,1.29,12.0,92.0,1.27
"beta[3, 1]",-6.231,5.65,-16.634,3.904,0.871,0.62,43.0,183.0,1.08
"beta[3, 2]",-3.1,6.162,-14.435,8.033,1.348,0.966,21.0,196.0,1.15
"beta[3, 3]",5.117,3.191,0.126,11.087,1.412,1.062,6.0,15.0,1.99
"beta[3, 4]",-3.864,7.023,-17.203,8.673,2.345,1.715,9.0,36.0,1.37
"beta[3, 5]",-3.492,5.482,-14.175,6.343,1.299,0.934,17.0,34.0,1.16
"beta[3, 6]",-4.01,6.221,-17.309,5.729,1.589,1.203,17.0,35.0,1.18
"beta[3, 7]",-4.66,7.045,-18.872,5.051,2.729,2.021,8.0,27.0,1.49
"beta[3, 8]",3.231,4.31,-2.541,12.757,1.914,1.44,6.0,24.0,1.73
"beta[3, 9]",2.352,2.415,-1.926,6.858,0.921,0.681,7.0,33.0,1.55
"beta[3, 10]",-2.315,5.789,-11.249,9.673,1.503,1.084,15.0,191.0,1.21
"beta[4, 0]",-15.412,6.387,-26.762,-1.852,1.55,1.115,17.0,130.0,1.19
"beta[4, 1]",-4.745,5.494,-14.93,4.483,0.521,0.369,115.0,452.0,1.04
"beta[4, 2]",-2.753,5.665,-13.538,6.755,1.213,0.869,22.0,230.0,1.13
"beta[4, 3]",2.555,2.157,-0.642,6.636,0.925,0.693,6.0,37.0,1.72
"beta[4, 4]",-3.712,6.613,-15.65,7.18,2.127,1.552,10.0,68.0,1.33
"beta[4, 5]",-2.979,4.984,-12.249,6.289,1.069,0.766,20.0,68.0,1.13
"beta[4, 6]",-3.427,5.832,-14.969,5.85,1.275,0.98,26.0,39.0,1.2
"beta[4, 7]",-4.137,6.8,-19.982,4.317,2.632,1.949,8.0,23.0,1.45
"beta[4, 8]",3.227,2.12,-0.002,7.364,0.932,0.7,6.0,52.0,1.78
"beta[4, 9]",2.988,2.093,0.042,7.388,0.906,0.679,6.0,34.0,1.74
"beta[4, 10]",-2.029,5.327,-12.284,7.324,1.464,1.059,13.0,248.0,1.22
"beta[5, 0]",-15.546,6.842,-28.505,-2.122,1.616,1.201,16.0,63.0,1.22
"beta[5, 1]",-5.135,6.285,-16.345,7.501,0.814,0.579,57.0,446.0,1.06
"beta[5, 2]",-2.248,6.279,-14.387,8.794,1.217,0.87,27.0,298.0,1.11
"beta[5, 3]",3.292,3.452,-2.605,9.944,1.01,0.733,11.0,98.0,1.28
"beta[5, 4]",-3.562,7.339,-15.887,10.725,2.257,1.642,11.0,32.0,1.29
"beta[5, 5]",-3.13,6.137,-14.514,8.445,1.15,0.822,25.0,80.0,1.11
"beta[5, 6]",-3.472,6.408,-15.688,7.362,1.408,1.01,22.0,47.0,1.15
