,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],-7.469,2.245,-11.223,-3.254,0.652,0.473,12.0,110.0,1.25
beta_mu[1],4.446,10.045,-8.893,22.725,4.781,3.633,5.0,23.0,2.37
beta_mu[2],-0.654,7.53,-12.538,10.054,3.516,2.664,5.0,27.0,2.01
beta_mu[3],4.867,4.682,-3.254,12.486,1.976,1.477,6.0,39.0,1.8
beta_mu[4],-2.019,4.198,-7.664,7.036,1.914,1.445,5.0,12.0,2.07
beta_mu[5],-0.084,4.696,-9.047,6.294,2.103,1.584,6.0,28.0,1.73
beta_mu[6],0.415,5.483,-8.552,10.804,2.306,1.723,6.0,23.0,1.83
beta_mu[7],-3.372,11.047,-23.082,11.926,5.307,4.039,5.0,26.0,2.24
beta_mu[8],-5.975,6.412,-16.081,7.23,2.63,1.959,6.0,15.0,1.86
beta_mu[9],3.681,8.048,-10.812,16.79,3.505,2.63,6.0,20.0,1.93
"beta[0, 0]",-4.638,2.29,-8.926,-0.746,0.834,0.614,7.0,19.0,1.53
"beta[0, 1]",4.449,10.337,-9.111,23.542,4.806,3.639,5.0,26.0,2.09
"beta[0, 2]",0.927,8.5,-11.344,14.376,4.051,3.079,5.0,11.0,2.35
"beta[0, 3]",-2.16,6.506,-13.923,7.125,2.917,2.197,6.0,32.0,2.0
"beta[0, 4]",-5.328,5.592,-15.064,6.026,2.466,1.854,5.0,13.0,2.04
"beta[0, 5]",3.783,6.154,-7.671,10.126,2.982,2.273,5.0,17.0,2.28
"beta[0, 6]",1.886,6.307,-6.532,13.655,2.962,2.246,5.0,14.0,2.81
"beta[0, 7]",-2.316,13.047,-25.426,16.118,6.294,4.793,5.0,32.0,2.41
"beta[0, 8]",-7.189,7.436,-20.384,6.24,3.027,2.254,6.0,16.0,1.82
"beta[0, 9]",3.734,8.709,-11.873,17.732,3.637,2.715,6.0,21.0,1.77
"beta[1, 0]",-7.256,5.739,-17.617,3.908,0.598,0.424,97.0,85.0,1.05
"beta[1, 1]",4.696,10.877,-10.322,24.357,4.951,3.737,6.0,26.0,2.01
"beta[1, 2]",-1.499,9.87,-16.823,18.139,3.702,2.733,7.0,62.0,1.58
"beta[1, 3]",5.818,7.757,-9.971,19.047,1.81,1.301,17.0,85.0,1.19
"beta[1, 4]",-1.359,5.508,-10.445,9.872,1.829,1.338,10.0,24.0,1.36
"beta[1, 5]",-0.282,7.446,-10.927,17.265,1.902,1.372,14.0,44.0,1.25
"beta[1, 6]",-0.344,10.245,-21.145,17.848,2.216,1.589,22.0,187.0,1.14
"beta[1, 7]",-3.269,12.137,-25.663,15.114,5.414,4.075,6.0,38.0,1.93
"beta[1, 8]",-5.465,7.996,-20.098,9.309,2.604,1.901,10.0,27.0,1.35
"beta[1, 9]",3.603,8.482,-12.175,17.191,3.285,2.433,7.0,30.0,1.53
"beta[2, 0]",-10.079,2.927,-15.038,-4.119,0.976,0.714,9.0,29.0,1.39
"beta[2, 1]",4.729,10.831,-9.814,26.058,5.039,3.816,5.0,27.0,2.25
"beta[2, 2]",6.803,8.636,-6.388,20.47,4.13,3.141,5.0,13.0,2.84
"beta[2, 3]",-0.705,7.029,-11.134,12.415,2.931,2.188,6.0,28.0,1.67
"beta[2, 4]",-0.041,4.526,-6.605,9.169,2.047,1.544,5.0,12.0,2.25
"beta[2, 5]",1.464,5.841,-8.978,10.508,2.638,1.989,6.0,71.0,1.95
