,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
betas[0],0.091,0.195,-0.294,0.437,0.005,0.004,1614.0,1761.0,1.0
betas[1],0.099,0.196,-0.255,0.458,0.005,0.004,1803.0,1922.0,1.01
betas[2],0.083,0.199,-0.283,0.462,0.005,0.004,1593.0,1440.0,1.0
betas[3],0.081,0.2,-0.298,0.472,0.005,0.004,1605.0,1636.0,1.0
betas[4],0.065,0.199,-0.311,0.428,0.005,0.004,1679.0,1442.0,1.0
betas[5],0.075,0.198,-0.3,0.446,0.005,0.004,1545.0,1578.0,1.0
betas[6],0.036,0.203,-0.332,0.441,0.005,0.006,1585.0,830.0,1.0
betas[7],0.047,0.194,-0.301,0.427,0.005,0.004,1754.0,1741.0,1.0
betas[8],0.049,0.202,-0.319,0.45,0.005,0.004,1685.0,1556.0,1.0
betas[9],0.041,0.194,-0.321,0.403,0.005,0.004,1594.0,1564.0,1.0
betas[10],0.059,0.203,-0.309,0.427,0.006,0.005,1337.0,823.0,1.0
betas[11],0.053,0.194,-0.306,0.416,0.005,0.004,1512.0,1605.0,1.0
betas[12],0.045,0.19,-0.305,0.412,0.004,0.004,2531.0,1817.0,1.0
betas[13],0.068,0.198,-0.286,0.462,0.004,0.004,2103.0,1673.0,1.0
betas[14],0.059,0.197,-0.309,0.4,0.006,0.004,1270.0,960.0,1.0
betas[15],0.034,0.2,-0.352,0.385,0.005,0.005,1561.0,812.0,1.0
betas[16],0.057,0.19,-0.309,0.395,0.005,0.004,1399.0,1189.0,1.0
betas[17],0.055,0.198,-0.311,0.416,0.005,0.004,1806.0,1786.0,1.0
betas[18],0.033,0.199,-0.336,0.414,0.005,0.005,1432.0,709.0,1.0
betas[19],0.039,0.192,-0.316,0.404,0.004,0.004,1876.0,1856.0,1.0
betas[20],-0.01,0.189,-0.386,0.324,0.005,0.005,1340.0,392.0,1.01
betas[21],0.047,0.194,-0.306,0.425,0.005,0.004,1738.0,1778.0,1.0
betas[22],0.038,0.194,-0.349,0.389,0.004,0.004,2242.0,1833.0,1.0
betas[23],0.026,0.191,-0.334,0.378,0.005,0.004,1731.0,1748.0,1.0
betas[24],0.024,0.193,-0.319,0.407,0.004,0.004,2047.0,1723.0,1.0
betas[25],0.081,0.198,-0.275,0.453,0.006,0.004,1200.0,891.0,1.0
betas[26],0.007,0.2,-0.362,0.382,0.005,0.005,1457.0,1528.0,1.0
betas[27],0.03,0.195,-0.332,0.394,0.005,0.004,1821.0,1928.0,1.0
betas[28],0.034,0.189,-0.316,0.387,0.005,0.004,1403.0,1246.0,1.0
betas[29],0.019,0.192,-0.36,0.362,0.005,0.004,1547.0,1539.0,1.0
betas[30],0.038,0.194,-0.323,0.404,0.005,0.004,1589.0,829.0,1.0
betas[31],0.011,0.199,-0.406,0.347,0.006,0.005,1009.0,409.0,1.0
betas[32],0.037,0.197,-0.324,0.409,0.005,0.004,1862.0,1278.0,1.0
betas[33],0.055,0.199,-0.297,0.428,0.005,0.004,1371.0,1787.0,1.0
betas[34],0.015,0.185,-0.335,0.356,0.004,0.003,2116.0,2128.0,1.0
betas[35],-0.001,0.195,-0.346,0.39,0.006,0.005,1215.0,894.0,1.0
betas[36],0.032,0.194,-0.324,0.41,0.005,0.005,1259.0,1079.0,1.0
